user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
Ru7T,jeon****,jeon388,2013-11-11,"5,504",418,20127,230,77,323,58%,33%,5922,0.0
14SMg,howo****,호원아비,2017-06-02,139,116,911,0,0,0,0%,0%,255,0.0
Uk3k,mlhr****,명품남자,2006-08-06,"1,201",104,2416,144,3,116,69%,2%,1305,0.0
1TZJK,khig****,khigold,2006-05-28,"24,929","7,057",191265,391,7,902,75%,2%,31986,1.0
3dq9d,jsj5****,jsj,2007-07-18,"3,803",257,20954,120,16,311,74%,13%,4060,0.0
5at3t,wook****,woo,2018-10-18,"3,328",277,8670,154,1,355,80%,1%,3605,0.0
8w3AE,dykw****,KDY,2016-08-05,"2,315",606,19315,37,0,145,76%,0%,2921,0.0
5liOZ,drea****,goodfellow,2016-05-01,"3,229",9,14937,52,0,212,92%,0%,3238,0.0
n4P4,jssw****,js,2013-04-21,"2,008",339,16433,31,1,152,84%,3%,2347,0.0
1lwMF,meta****,고요한바다,2013-01-03,"11,651","1,964",41789,90,0,83,73%,0%,13615,1.0
1tlJB,jiho****,웃자,2006-12-07,"1,748",218,12660,58,2,158,64%,3%,1966,0.0
1YFI4,jiml****,언클짐,2015-04-29,"4,678",192,14107,241,0,532,83%,0%,4870,0.0
2UKNU,frre****,arrow05,2013-02-25,"3,015",184,25221,13,0,8,80%,0%,3199,0.0
EN5y,ijje****,열정과도전사이,2013-09-04,"5,003",169,29853,54,1,104,78%,2%,5172,0.0
lFVt,tige****,207동3601호,2018-11-16,"4,152",36,25631,76,1,430,79%,1%,4188,0.0
3sMUH,volt****,vol,2013-05-28,"1,725",181,5661,6,0,30,86%,0%,1906,0.0
7QLWu,akck****,석정,2016-03-14,764,16,1534,108,0,120,67%,0%,780,0.0
1JGPr,chsk****,rkdwhdtn58,2013-06-05,"4,065",246,24772,136,75,177,51%,55%,4311,0.0
3wNvM,1000****,1000yan,2008-05-31,"8,193","6,242",92207,132,5,315,74%,4%,14435,1.0
1dI4Z,sgjd****,의미있는삶,2008-02-01,"1,485",227,15752,73,2,716,76%,3%,1712,0.0
5MXhS,tech****,엠육,2018-04-11,"2,537",643,32708,120,0,514,85%,0%,3180,0.0
1NG6O,leeh****,행복한꿈,2006-04-07,"10,586","3,032",80810,272,2,"1,926",70%,1%,13618,1.0
4oNoK,newn****,아가가,2016-08-18,258,332,2975,46,1,396,81%,2%,590,0.0
2itvN,toma****,나이스,2007-05-12,613,8,3704,0,0,0,0%,0%,621,0.0
dV1wB,audi****,aud,2021-07-15,"1,685",591,16360,134,5,"1,968",93%,4%,2276,0.0
1KFec,raym****,석세스,2007-05-23,"2,157",483,26505,32,1,61,61%,3%,2640,0.0
y8uF,choa****,cho,2010-12-22,"1,439",555,3681,9,0,10,63%,0%,1994,0.0
4FXKi,ange****,찐,2017-01-16,"5,657","1,070",79762,62,0,329,82%,0%,6727,0.0
11hs1,jeen****,jeennn,2015-08-08,"2,286",128,8100,62,0,128,92%,0%,2414,0.0
28mJK,prop****,이리,2017-06-27,"5,916",224,21849,120,3,110,68%,3%,6140,0.0
1iAJc,fitl****,fitly,2007-07-16,"3,927",832,14895,94,0,187,76%,0%,4759,0.0
1SgN0,anyl****,조은하루,2012-09-11,"8,605","1,322",72659,29,2,102,90%,7%,9927,1.0
1Zp9j,ksp5****,ksp5836,2018-04-12,376,15,2840,19,0,44,69%,0%,391,0.0
2rkfB,pain****,pai,2016-10-10,"2,040",12,7244,29,0,214,69%,0%,2052,0.0
4W0fe,netw****,제이투비,2012-10-11,"5,337","5,624",63162,175,4,553,76%,2%,10961,1.0
cSPVd,jwlc****,jwl,2020-10-15,591,155,3164,66,2,246,87%,3%,746,0.0
5m0tv,baek****,bae,2014-05-02,"4,517",50,25624,3,0,2,100%,0%,4567,0.0
zbn8,mink****,삭,2006-05-10,169,49,595,9,0,2,50%,0%,218,0.0
3lfwD,atom****,bbb,2021-08-12,"2,112","1,703",5889,438,0,589,57%,0%,3815,0.0
msvM,zeus****,zeu,2011-10-25,"3,528","3,462",9016,72,1,67,69%,1%,6990,0.0
2b1NZ,ssem****,우에에,2007-06-13,"3,132",459,21077,24,3,29,58%,13%,3591,0.0
2om2M,yido****,보령신중앙,2019-10-18,237,6,312,0,0,0,0%,0%,243,0.0
3e9EZ,kok3****,바람돌이,2017-11-23,"2,639","2,329",11786,8,1,13,100%,13%,4968,0.0
2wRde,khj9****,khj9610,2018-02-10,"9,186",319,27407,136,0,193,78%,0%,9505,1.0
4ASyZ,angu****,ang,2013-09-10,"2,094",539,8295,55,0,324,57%,0%,2633,0.0
4mAux,kang****,꾀꼬리,2015-12-31,"1,487",193,6059,2,0,8,100%,0%,1680,0.0
1CMl1,c_14****,페이셔너스,2006-06-20,"2,217","2,084",65776,4,0,35,65%,0%,4301,0.0
REW1,juni****,하나,2006-11-12,322,134,3326,9,1,88,93%,11%,456,0.0
5e4sN,rohs****,노승범,2015-02-02,"6,618",26,49155,81,0,386,71%,0%,6644,0.0
4eh5t,sj91****,sj9,2013-10-13,"1,845","2,616",24683,65,0,348,58%,0%,4461,0.0
16MgI,jaja****,jaj,2020-06-30,57,0,89,0,0,0,0%,0%,57,0.0
1vjJH,trun****,ZHIZHI,2015-06-12,"2,516",59,10590,8,2,4,100%,25%,2575,0.0
2DDDi,dica****,디카,2006-08-16,"7,122",911,47871,104,0,365,78%,0%,8033,0.0
6EQpV,jyk9****,jyk,2015-11-13,543,5,1334,28,0,36,64%,0%,548,0.0
5XtaC,kth8****,호호호,2020-09-12,"4,115",24,24803,39,0,209,81%,0%,4139,0.0
hLQZ,hosu****,hosu17,2016-01-02,"2,548",38,20770,74,0,"2,311",87%,0%,2586,0.0
